ds,y,item_code,is_event_day
2025-07-16,8,3,False
2025-07-16,20,4,False
2025-07-16,3,5,False
2025-07-16,4,6,False
2025-07-16,4,7,False
2025-07-16,2,8,False
2025-07-16,4,10,False
2025-07-16,10,11,False
2025-07-16,10,12,False
2025-07-16,8,1,False
2025-07-17,25,1,False
2025-07-17,3,16,False
2025-07-17,2,15,False
2025-07-17,10,12,False
2025-07-17,6,11,False
2025-07-17,10,10,False
2025-07-17,2,9,False
2025-07-17,1,8,False
2025-07-17,2,5,False
2025-07-17,8,4,False
2025-07-17,15,2,False
2025-07-18,15,1,False
2025-07-18,12,2,False
2025-07-18,8,3,False
2025-07-18,20,4,False
2025-07-18,3,7,False
2025-07-18,4,8,False
2025-07-18,6,9,False
2025-07-18,12,10,False
2025-07-18,15,11,False
2025-07-18,19,12,False
2025-07-18,4,13,False
2025-07-18,2,14,False
2025-07-18,2,15,False
2025-07-18,9,16,False
2025-07-19,16,1,False
2025-07-19,8,2,False
2025-07-19,28,3,False
2025-07-19,15,4,False
2025-07-19,2,5,False
2025-07-19,2,6,False
2025-07-19,2,7,False
2025-07-19,4,8,False
2025-07-19,8,9,False
2025-07-19,14,10,False
2025-07-19,23,11,False
2025-07-19,4,12,False
2025-07-19,2,14,False
2025-07-19,8,15,False
2025-07-19,5,16,False
2025-07-21,15,1,False
2025-07-21,5,2,False
2025-07-21,6,3,False
2025-07-21,2,7,False
2025-07-21,2,8,False
2025-07-21,4,9,False
2025-07-21,4,10,False
2025-07-21,14,11,False
2025-07-21,1,12,False
2025-07-21,2,13,False
2025-07-21,4,15,False
2025-07-21,2,16,False
2025-07-22,8,1,False
2025-07-22,12,3,False
2025-07-22,2,5,False
2025-07-22,2,7,False
2025-07-22,4,9,False
2025-07-22,8,11,False
2025-07-22,2,12,False
2025-07-22,2,15,False
2025-07-22,12,4,False
2025-07-23,15,1,False
2025-07-23,8,2,False
2025-07-23,8,3,False
2025-07-23,21,4,False
2025-07-23,6,5,False
2025-07-23,2,6,False
2025-07-23,1,7,False
2025-07-23,7,8,False
2025-07-23,4,9,False
2025-07-23,9,10,False
2025-07-23,28,11,False
2025-07-23,13,12,False
2025-07-23,2,13,False
2025-07-23,2,14,False
2025-07-23,1,15,False
2025-07-23,7,16,False
2025-07-24,5,1,False
2025-07-24,5,2,False
2025-07-24,3,3,False
2025-07-24,7,4,False
2025-07-24,4,8,False
2025-07-24,5,10,False
2025-07-24,2,11,False
2025-07-24,11,12,False
2025-07-24,3,15,False
2025-07-24,3,16,False
2025-07-25,15,1,False
2025-07-25,5,2,False
2025-07-25,8,3,False
2025-07-25,11,4,False
2025-07-25,2,5,False
2025-07-25,2,6,False
2025-07-25,2,7,False
2025-07-25,7,8,False
2025-07-25,10,9,False
2025-07-25,12,10,False
2025-07-25,17,11,False
2025-07-25,11,12,False
2025-07-25,3,13,False
2025-07-25,2,14,False
2025-07-25,7,15,False
2025-07-26,15,1,False
2025-07-26,5,2,False
2025-07-26,15,3,False
2025-07-26,10,4,False
2025-07-26,2,7,False
2025-07-26,4,8,False
2025-07-26,6,9,False
2025-07-26,12,10,False
2025-07-26,12,11,False
2025-07-26,10,12,False
2025-07-26,6,15,False
2025-07-26,3,16,False
2025-07-28,6,1,False
2025-07-28,7,2,False
2025-07-28,12,3,False
2025-07-28,11,4,False
2025-07-28,1,7,False
2025-07-28,2,8,False
2025-07-28,2,9,False
2025-07-28,6,10,False
2025-07-28,8,11,False
2025-07-28,2,12,False
2025-07-28,1,14,False
2025-07-28,1,15,False
2025-07-29,5,1,False
2025-07-29,7,3,False
2025-07-29,21,4,False
2025-07-29,2,5,False
2025-07-29,2,7,False
2025-07-29,4,8,False
2025-07-29,2,9,False
2025-07-29,7,10,False
2025-07-29,8,11,False
2025-07-29,11,12,False
2025-07-29,2,13,False
2025-07-29,5,15,False
2025-07-29,5,16,False
